gRNA_id,Gene,bm1,bm2,bm3,bm4,bm5,LFC_avg_bm,LFC_median_bm,LFC_concordant_mean_bm,LFC_directional_bm,z_score_avg_bm,z_score_median_bm,z_score_concordant_mean_bm,Input_median,d15-1,d15-2,d15-3,LFC_avg_d15,LFC_median_d15,LFC_concordant_mean_d15,LFC_directional_d15,z_score_avg_d15,z_score_median_d15,z_score_concordant_mean_d15,input,LFC_avg_input,LFC_median_input,LFC_concordant_mean_input,LFC_directional_input,z_score_avg_input,z_score_median_input,z_score_concordant_mean_input,spleen1,spleen2,spleen3,spleen4,spleen5,LFC_avg_spleen,LFC_median_spleen,LFC_concordant_mean_spleen,LFC_directional_spleen,z_score_avg_spleen,z_score_median_spleen,z_score_concordant_mean_spleen,gene_name_m_corrected,gene_name_h,HGVSp_m,HGVSp_h,classification,classification_m,sensor_reads_input,corr_perc_input,target_base_edit_perc_input,byproduct_INDEL_perc_input,byproduct_sub_perc_input,sensor_reads_d15,corr_perc_d15,target_base_edit_perc_d15,byproduct_INDEL_perc_d15,byproduct_sub_perc_d15,sensor_reads_bm,corr_perc_bm,target_base_edit_perc_bm,byproduct_INDEL_perc_bm,byproduct_sub_perc_bm,sensor_reads_spleen,corr_perc_spleen,target_base_edit_perc_spleen,byproduct_INDEL_perc_spleen,byproduct_sub_perc_spleen,p_high_unadjusted_d15_fishers,p_low_unadjusted_d15_fishers,FDR_high_d15_fishers,FDR_low_d15_fishers,p_high_unadjusted_d15_stouffers,p_low_unadjusted_d15_stouffers,FDR_high_d15_stouffers,FDR_low_d15_stouffers,FDR_d15_fishers,FDR_d15_stouffers,p_high_unadjusted_spleen_fishers,p_low_unadjusted_spleen_fishers,FDR_high_spleen_fishers,FDR_low_spleen_fishers,p_high_unadjusted_spleen_stouffers,p_low_unadjusted_spleen_stouffers,FDR_high_spleen_stouffers,FDR_low_spleen_stouffers,FDR_spleen_fishers,FDR_spleen_stouffers,p_high_unadjusted_bm_fishers,p_low_unadjusted_bm_fishers,FDR_high_bm_fishers,FDR_low_bm_fishers,p_high_unadjusted_bm_stouffers,p_low_unadjusted_bm_stouffers,FDR_high_bm_stouffers,FDR_low_bm_stouffers,FDR_bm_fishers,FDR_bm_stouffers
gRNA_2,Abl1,0.12559320421618056,-0.4572906997573504,1.3134091487759438,0.299620771439201,1.1954545875225082,0.49535740243929666,0.299620771439201,0.7335194279884584,True,1.006318011096809,0.6524379621392334,1.1349722109986566,369.7567845821588,-0.15543415727782006,-0.7830034840414875,-2.229003359682471,-1.0558136670005929,-0.7830034840414875,-1.0558136670005929,True,-1.2054637405863902,-0.8648303115615431,-1.1869168989012673,0.0,0.0,0.0,0.0,True,,,,0.7781414254982687,-0.049599245136385695,0.7101020396531788,0.9072606939013784,0.6825549378955219,0.6056919703623924,0.7101020396531788,0.7695147742370869,True,1.166396405046497,1.347358332592215,1.3059531366428279,Abl1,ABL1,Non-coding,,targeting guide,Intron,301,0.0,0.0,0.3322259136212624,33.222591362126245,76,11.842105263157896,34.21052631578947,0.0,57.89473684210526,688,14.098837209302326,25.87209302325581,0.0,56.25,717,10.320781032078104,35.42538354253836,0.0,64.71408647140865,0.8011156294082366,0.017828118413675504,0.9999935409454064,0.2914509792844343,0.9544987569989877,0.04621456507506465,1.0,0.4344169117056077,0.2914509792844343,0.4344169117056077,4.513938362504019e-05,0.9999450477638265,0.00038573655097761615,0.9999999999999999,1.0381557250456468e-05,0.9999898930086794,8.132219846190901e-05,1.0,0.00038573655097761615,8.132219846190901e-05,0.002799836693934315,0.9846866896183898,0.01986299239470382,0.9999999995778844,0.002753611404989664,0.9972873101602052,0.017089586765588867,1.0,0.01986299239470382,0.017089586765588867
gRNA_85,Akt1,0.19893810264428177,0.8673020614050323,-0.8065835072616694,0.1449011540376278,1.9545426561528845,0.47182009339563136,0.19893810264428177,0.7914209935599565,True,0.9621943068159666,0.47569741021696976,1.2157616976425298,1308.8641028769325,0.8801550785526857,0.6805803710740013,0.9303234268727112,0.8303529588331328,0.8801550785526857,0.8303529588331328,True,1.3812904084668125,1.4561007621521973,1.386521079696645,0.0,0.0,0.0,0.0,True,,,,-0.07167765049682784,0.7206406686966916,-0.3237824558762948,-0.28505068803214234,0.45534628931537935,0.0990952327213612,-0.07167765049682784,,False,0.18825178059188383,-0.13049847013295746,,Akt1,AKT1,D323G,D323G,targeting guide,Missense,73,4.109589041095891,13.6986301369863,4.109589041095891,42.465753424657535,231,7.792207792207792,83.54978354978356,0.0,88.74458874458874,616,4.058441558441558,66.3961038961039,1.948051948051948,78.8961038961039,1227,4.563977180114099,64.05867970660147,0.4889975550122249,79.29910350448247,0.005160984823020913,0.9995498359048216,0.0496462347865982,1.0,0.0017828586807598899,0.9982275116172667,0.017188586255531248,1.0,0.0496462347865982,0.017188586255531248,0.03823942960143929,0.9520567556279521,0.10650389281586055,0.9999999999999999,0.032186155893748,0.9679548452681587,0.08177023389222465,1.0,0.10650389281586055,0.08177023389222465,0.0022195538670497783,0.9341517544697702,0.016691045080214333,0.9999999995778844,0.005496742449407495,0.9947577207151334,0.02952535944253169,1.0,0.016691045080214333,0.02952535944253169
gRNA_871,Arid2,1.804455328155858,0.4543135513727446,0.40716626007928114,0.5040607745252023,0.8481993150206282,0.8036390458307429,0.5040607745252023,0.8036390458307429,True,1.5842314863790314,1.0113164008306852,1.2328094261625118,3003.5381068880715,2.310782940529914,2.2524323445687306,2.2358172183068974,2.266344167801847,2.2524323445687306,2.266344167801847,True,3.350658420246702,3.3711081583680547,3.3457511198630914,0.0,0.0,0.0,0.0,True,,,,0.6841710044554936,0.5580474029411749,0.8082595623247097,1.4889453136304385,1.0030952397991602,0.9085037046301954,0.8082595623247097,0.9085037046301954,True,1.7510698703259155,1.532912862143805,1.5368331022369788,Arid2,ARID2,N1540S,N1546S,targeting guide,Missense,1600,0.0,0.0,0.0,79.25,12160,0.0,19.62171052631579,0.0164473684210526,99.52302631578948,6296,0.1588310038119441,21.0292249047014,0.0,99.31702668360865,9361,0.0640957162696293,35.03899156073069,0.0106826193782715,99.38040807606023,4.1025318572854354e-10,1.0,1.5425519783393237e-07,1.0,5.912223338100508e-11,1.0,2.222995975125791e-08,1.0,1.5425519783393237e-07,2.222995975125791e-08,5.076072497571572e-07,0.9999999901002349,9.08858694803291e-06,0.9999999999999999,4.743234561348468e-08,0.9999999575799974,8.49264854793821e-07,1.0,9.08858694803291e-06,8.49264854793821e-07,0.00016173696568423052,0.9999583626300824,0.002533879129052945,0.9999999995778844,4.8845011798498814e-05,0.9999544280058746,0.0008117706189459862,1.0,0.002533879129052945,0.0008117706189459862
gRNA_895,Arid5b,1.2890624452482113,0.6332960510638428,1.2712986935881359,0.8914105398897473,2.187999248492885,1.2546133956565644,1.2712986935881359,1.2546133956565644,True,2.4296407391124126,2.3581425715500974,1.8620495141009463,393.8364594102299,1.013494213013477,1.1659921391376373,0.9087952751446559,1.02942720909859,1.013494213013477,1.02942720909859,True,1.6543077208244656,1.642174987107295,1.6581329453596712,0.0,0.0,0.0,0.0,True,,,,1.0847767908801218,0.8839332606549347,1.187650046454912,1.313740297703441,1.3192375550640056,1.157867590151483,1.187650046454912,1.157867590151483,True,2.232545422836476,2.25010315875209,1.9510612364253785,Arid5b,ARID5B,K1026E,K1026E,targeting guide,Missense,15,0.0,6.666666666666667,0.0,40.0,228,0.0,99.56140350877192,0.4385964912280701,98.6842105263158,791,0.6321112515802781,100.0,1.390644753476612,96.20733249051833,1360,0.4411764705882353,99.11764705882354,1.5441176470588236,96.91176470588236,0.002041806504543929,0.9998572576329743,0.028434046137352488,1.0,0.0006464899421230158,0.9993590597415553,0.009002971045861256,1.0,0.028434046137352488,0.009002971045861256,3.1104106158838116e-09,0.9999999999894925,1.0631949014293756e-07,0.9999999999999999,1.6612171015173515e-10,0.9999999998718826,5.67834209245931e-09,1.0,1.0631949014293756e-07,5.67834209245931e-09,2.45247274866872e-07,0.9999998607052646,2.305324383748597e-05,0.9999999995778844,4.789031082405215e-08,1.0,4.501689217460903e-06,1.0,2.305324383748597e-05,4.501689217460903e-06
gRNA_896,Arid5b,-0.1764344940224547,-0.5100563511855484,0.5919699890348632,0.4275627092469837,-0.1693795495809429,0.032732460698580185,-0.1693795495809429,,False,0.13906822972033084,-0.17085542669276824,,1389.1296856371696,0.13827439610283643,0.19498901908921992,0.13758827798088666,0.156950564390981,0.13827439610283643,0.156950564390981,True,0.4577630732105071,0.42080925861684854,0.4677479061069574,0.0,0.0,0.0,0.0,True,,,,-0.30077651378589754,-0.005074630093262045,-0.11628949265745533,0.5249749291553671,0.6745166253322168,0.1554701835901938,-0.005074630093262045,,False,0.2971013863019686,-0.004593783652081208,,Arid5b,ARID5B,K1026E,K1026E,targeting guide,Missense,252,0.0,0.0,0.0,46.03174603174603,745,0.0,45.50335570469799,0.0,97.04697986577182,1119,0.0,33.51206434316354,0.0,92.67202859696155,1814,0.0,45.92061742006615,0.0551267916207276,94.6527012127894,0.09230776756762553,0.9827788601550369,0.34027177064144315,1.0,0.04467205774576286,0.9553941917783808,0.16630389814264193,1.0,0.34027177064144315,0.16630389814264193,0.023004270042689214,0.980847151286761,0.07217229014471441,0.9999999999999999,0.01459201930462703,0.9854789224311521,0.0428640567073419,1.0,0.07217229014471441,0.0428640567073419,0.17524406974297443,0.9116399339013883,0.3945614983434634,0.9999999995778844,0.11519123494968037,0.8849858765016313,0.27943164091019235,1.0,0.3945614983434634,0.27943164091019235
gRNA_1000,Atm,-0.16571067948718507,0.15754514619323598,0.07529958949625648,0.6112499027891273,0.222261862440804,0.18012916428644773,0.15754514619323598,0.26658912522985595,True,0.41538225308709387,0.4030353119987187,0.4834689384014,2137.7400208476474,-0.2389199229533219,0.22936380449582827,0.38421699572233065,0.124886959088279,0.22936380449582827,0.30679040010907943,True,0.4137899358882903,0.5479241610562996,0.6721855833844788,0.0,0.0,0.0,0.0,True,,,,0.32038012466967103,0.3610221368888561,0.7431043290739091,0.32544928395917877,0.5229546677988617,0.4545821084780954,0.3610221368888561,0.4545821084780954,True,0.8746312038087842,0.6874664020460174,0.7828061289692192,Atm,ATM,K2450E,K2440E,targeting guide,Missense,581,0.0,0.0,0.1721170395869191,62.65060240963855,653,0.4594180704441041,43.644716692189895,0.1531393568147013,98.31546707503828,1561,0.0640614990390775,49.96796925048046,0.0640614990390775,97.82190903267136,2727,0.22002200220022,57.38907224055739,0.11001100110011,99.11991199119912,0.1030337371017784,0.9695356648016814,0.3521880468206244,1.0,0.056571937240855984,0.9435106042032417,0.19514723305102616,1.0,0.3521880468206244,0.19514723305102616,0.0007642988932072527,0.9999841608932114,0.003991338664526764,0.9999999999999999,0.00012188744898518828,0.9998794088084876,0.0006547097259775828,1.0,0.003991338664526764,0.0006547097259775828,0.09964609987808878,0.9855759691069625,0.26385164474761535,0.9999999995778844,0.03970256684389091,0.9603747908811417,0.12561055679914884,1.0,0.26385164474761535,0.12561055679914884
gRNA_1036,Atm,0.5314825676332527,-0.02459647977428317,-0.2935312987133019,-0.1451214616957356,-0.7824835126532674,-0.14285003704066707,-0.1451214616957356,-0.311433188209147,True,-0.1900836793940762,-0.12827225033554127,-0.32303992730063397,988.8719796061207,-0.785366830873371,-0.18428871707202416,-0.15635740438059514,-0.3753376507753301,-0.18428871707202416,-0.3753376507753301,True,-0.27223539575559536,-0.029326266304868173,-0.2584926548846236,0.0,0.0,0.0,0.0,True,,,,-0.29684955344038333,-0.1676992665960614,-0.7715691883212739,0.32342285110078034,0.222376015811417,-0.13806382828910424,-0.1676992665960614,,False,-0.269658512609542,-0.3120153352406818,,Atm,ATM,D2730G,D2720G,targeting guide,Missense,8,0.0,0.0,0.0,0.0,110,4.545454545454546,99.0909090909091,0.0,94.54545454545456,607,12.02635914332784,99.34102141680395,0.329489291598023,84.51400329489292,791,9.102402022756005,99.24146649810366,1.5170670037926677,87.98988621997472,0.4867604695667115,0.6470836903839172,0.8927899344247976,1.0,0.41136267721200154,0.5888395022370729,0.7436171472678489,1.0,0.8927899344247976,0.7436171472678489,0.22959310552582993,0.7020626314488554,0.4410084667627173,0.9999999999999999,0.23200568039812863,0.7683005405193397,0.41148177278158665,1.0,0.4410084667627173,0.41148177278158665,0.37855270047367023,0.7647386000178749,0.6618586735872675,0.9999999995778844,0.29402495964833897,0.7062461523097374,0.539284804037929,1.0,0.6618586735872675,0.539284804037929
gRNA_1149,Atrx,-0.02902875144715915,0.6743435988719491,0.45871929826842567,-0.10627770108550162,-1.1649317608476901,-0.03343506324799521,-0.02902875144715915,,False,0.015028720607456867,0.07551942432972401,,975.4943824794146,0.7126599309754679,1.1837617845534523,0.6933677895540155,0.8632631683609785,0.7126599309754679,0.8632631683609785,True,1.426424608105583,1.2223619584978576,1.4314229361512079,0.0,0.0,0.0,0.0,True,,,,0.3699196187202653,0.6616757303993281,0.3762692762251392,-0.04578052099748545,-0.08287345023031337,0.25584213082338675,0.3699196187202653,,False,0.4909010564091176,0.7042859795015902,,Atrx,ATRX,N246S,N247S,targeting guide,Missense,54,0.0,0.0,5.555555555555555,68.51851851851852,251,0.398406374501992,94.42231075697212,0.0,99.601593625498,1011,0.2967359050445103,76.75568743818002,0.0989119683481701,99.50544015825916,1824,1.0964912280701755,84.04605263157895,0.0,98.7938596491228,0.004859853748812944,0.9995155636478356,0.048086973935622813,1.0,0.0017155535166523959,0.9982951332588941,0.016974950585823708,1.0,0.048086973935622813,0.016974950585823708,0.009702602543872719,0.9977563904949643,0.03377943107866798,0.9999999999999999,0.003446956037031809,0.9965727496205721,0.012141728977341735,1.0,0.03377943107866798,0.012141728977341735,0.1414888351157397,0.6828800786637749,0.33885224206062503,0.9999999995778844,0.16761557410826933,0.8326954259259962,0.3622037693374096,1.0,0.33885224206062503,0.3622037693374096
gRNA_1322,Bap1,0.4966269826637985,0.892360488477455,0.5189607242926662,0.43509071968490964,0.8953648890101576,0.6476807608257975,0.5189607242926662,0.6476807608257975,True,1.2918676806891203,1.037472097506541,1.015202360463228,1587.118123112421,1.0699025875330013,1.3198066781413442,0.9076403975762359,1.0991165544168604,1.0699025875330013,1.0991165544168604,True,1.7498820993962179,1.7208926464962104,1.753215323283938,0.0,0.0,0.0,0.0,True,,,,0.337070270316298,0.6473557765809739,0.45021186134491537,0.6128546338926106,0.8244630367960126,0.5743911157861621,0.6128546338926106,0.5743911157861621,True,1.1059602427704778,1.1635242653205844,0.9818255717904538,Bap1,BAP1,H141R,H141R,targeting guide,Missense,587,0.0,0.0,0.0,35.77512776831346,2780,2.5179856115107917,92.66187050359711,0.1798561151079136,92.37410071942446,2419,3.968582058701943,88.09425382389418,0.1653575857792476,86.02728400165357,4651,3.3111158890561168,76.97269404429154,0.0645022575790152,77.91872715545044,0.0013966095547603727,0.9998994480840269,0.021550986151532146,1.0,0.0004352607870954014,0.999569228726284,0.006804299836204531,1.0,0.021550986151532146,0.006804299836204531,0.000114628029874189,0.9999980707479986,0.0007836388951399102,0.9999999999999999,1.486875570657221e-05,0.9999853945915057,0.0001035305952902065,1.0,0.0007836388951399102,0.0001035305952902065,0.001977442202237171,0.9999549448888249,0.015565725530203696,0.9999999995778844,0.00034281182692262596,0.9996597337214738,0.003580479081191871,1.0,0.015565725530203696,0.003580479081191871
gRNA_1337,Bap1,0.01456006878861642,-0.5888629962219031,-0.0079426776773833,0.35988772943733416,-0.3737170767011565,-0.11921499047489847,-0.0079426776773833,,False,-0.14577675359396713,0.11253437795133298,,1600.4957202391272,-0.5935464127345226,-0.35152313395028156,-0.6014066680124174,-0.5154920715657405,-0.5935464127345226,-0.5154920715657405,True,-0.464448016062929,-0.6004437318206011,-0.44971579731033967,0.0,0.0,0.0,0.0,True,,,,-0.28898061004134556,-0.13258009395471435,0.04897905025416904,-0.2066096008297151,-0.41981971799774204,-0.19980219451386963,-0.2066096008297151,-0.26199750570587926,True,-0.38886388161086294,-0.38557045936072837,-0.40753238360393207,Bap1,BAP1,Y173C,Y173C,targeting guide,Missense,1039,0.0962463907603464,0.5774783445620789,0.0,69.39364773820982,678,17.256637168141594,76.84365781710915,0.2949852507374631,63.12684365781711,1518,20.487483530961796,76.15283267457181,0.0,61.133069828722,2185,20.503432494279178,75.51487414187643,0.0,60.869565217391305,0.7035823235288978,0.5740305273002293,0.9999935409454064,1.0,0.5691858541552239,0.43099044604644515,0.8735260455606703,1.0,0.9999935409454064,0.8735260455606703,0.5160825348640309,0.8201595228414573,0.7856155186594155,0.9999999999999999,0.329963711588509,0.6702622773164655,0.5475957891763744,1.0,0.7856155186594155,0.5475957891763744,0.389851767954244,0.8389110300036811,0.667819438126286,0.9999999995778844,0.2556569449043219,0.7445659548586563,0.4896906701161371,1.0,0.667819438126286,0.4896906701161371
gRNA_1343,Bap1,0.40249698292125174,0.2808207596594906,-0.013211412471766675,0.17955554441868837,0.500213650280423,0.2699751049616174,0.2808207596594906,0.34077173431996344,True,0.5838099909321828,0.6194360115765289,0.5869752054105776,1038.1015370323994,0.3422610962111854,0.5324738572281088,0.10187656604648532,0.3255371731619265,0.3422610962111854,0.3255371731619265,True,0.6889685795216424,0.7054718768144357,0.6977632057904672,0.0,0.0,0.0,0.0,True,,,,-0.19399509568126636,0.1385005675087959,0.13257581995521206,0.08538631812827638,0.39739661798951553,0.1119728455801067,0.13257581995521206,0.18846483089544996,True,0.21311606979406778,0.25561718954841933,0.34074827789781664,Bap1,BAP1,N489S,N490S,targeting guide,Missense,573,0.0,0.0,0.0,25.47993019197208,471,0.8492569002123143,62.4203821656051,0.0,92.78131634819532,999,3.103103103103103,48.14814814814815,0.1001001001001001,84.78478478478479,1480,0.945945945945946,54.729729729729726,0.1351351351351351,85.27027027027027,0.04454858373006259,0.9920518049968735,0.21055965054685716,1.0,0.020306679702086456,0.9797385203237713,0.09544139459980634,1.0,0.21055965054685716,0.09544139459980634,0.0513516213845788,0.9940175232545965,0.13408478917084465,0.9999999999999999,0.017522626898763292,0.9825212310828533,0.049537651984473664,1.0,0.13408478917084465,0.049537651984473664,0.05836038909243068,0.9957684925738227,0.19359949717827393,0.9999999995778844,0.017945832728480143,0.9820955195676416,0.07102771690430035,1.0,0.19359949717827393,0.07102771690430035
gRNA_1376,Bcl2,-0.5807619621034947,-0.41111807640828973,-0.17273780553144524,0.2702261278671369,0.3486021236321175,-0.10915791850879505,-0.17273780553144524,,False,-0.12692348245153262,-0.176750582406181,,1244.6516366687429,-0.7656651025229303,-0.9431357237838481,-0.7512781502715499,-0.8200263255261094,-0.7656651025229303,-0.8200263255261094,True,-0.8820968251190227,-0.8406346700037376,-0.8652146213228699,0.0,0.0,0.0,0.0,True,,,,-0.08053194278650579,-0.34086965593576707,-0.17544164120416203,0.2319347204343834,-0.6944728249669001,-0.2118762688917903,-0.17544164120416203,-0.3228290162233337,True,-0.4121766865906629,-0.32665132684802667,-0.5085819924870759,Bcl2,BCL2,N140S,N143S,targeting guide,Missense,9,0.0,0.0,0.0,55.55555555555556,54,0.0,94.44444444444444,0.0,96.29629629629628,94,0.0,98.93617021276596,0.0,90.4255319148936,132,0.0,78.78787878787878,0.0,74.24242424242425,0.9569289823489117,0.1676550947122036,0.9999935409454064,0.9589993305088023,0.9080489258967266,0.09204955353713568,1.0,0.5407911270306721,0.9589993305088023,0.5407911270306721,0.4383085961971466,0.6660979943085329,0.7292213812837484,0.9999999999999999,0.37428559460777,0.626016933166738,0.5888342408892114,1.0,0.7292213812837484,0.5888342408892114,0.3722791897396931,0.8253438152632527,0.6545779692139996,0.9999999995778844,0.2565666542895718,0.7436651285431779,0.4896906701161371,1.0,0.6545779692139996,0.4896906701161371
gRNA_1381,Bcl2,-0.4815210868306029,-0.2182594176792013,0.8939885279585839,-0.7174677824880038,-0.49601392305745673,-0.2038547364193362,-0.4815210868306029,-0.4783155525138162,True,-0.30444481176194704,-0.7187954866025895,-0.5558892537224166,2235.128927930068,-0.9448460697777925,-0.4245167014291463,-0.5300921385653781,-0.6331516365907723,-0.5300921385653781,-0.6331516365907723,True,-0.6258104131256828,-0.5118935478565393,-0.6102475281943427,0.0,0.0,0.0,0.0,True,,,,-0.34018548875492394,0.5577287157807258,-0.24861428463998367,0.07375405179207337,-0.47805943825891506,-0.0870752888162047,-0.24861428463998367,,False,-0.1712090712916849,-0.4649750646446212,,Bcl2,BCL2,Y28C,Y28C,targeting guide,Missense,39,0.0,0.0,7.6923076923076925,82.05128205128206,186,46.236559139784944,91.93548387096774,3.763440860215054,44.623655913978496,782,39.25831202046036,95.14066496163684,1.0230179028132993,42.19948849104859,1614,36.98884758364312,94.48574969021064,2.292441140024783,44.85749690210657,0.8022324113475796,0.3635805589475798,0.9999935409454064,1.0,0.728443214401194,0.2717327626869417,1.0,0.9816026220880771,0.9999935409454064,0.9816026220880771,0.18962828071824656,0.8359606797702375,0.3896187625686377,0.9999999999999999,0.1666992892958709,0.8335866908387819,0.3197904733430993,1.0,0.3896187625686377,0.3197904733430993,0.3686140204509451,0.6140826692928829,0.653768262686582,0.9999999995778844,0.39772503812772336,0.6027093766169509,0.6646427303823288,1.0,0.653768262686582,0.6646427303823288
gRNA_1382,Bcl2,-0.09888554436873359,0.5456410477608081,-0.48459720546784313,0.10437273417804112,0.8985997835701139,0.1930261631344773,0.10437273417804112,,False,0.4395593313684352,0.30969530066324463,,1296.0216096352947,-0.892725620828055,-0.9895603246291389,-0.39458841921381654,-0.7589581215570035,-0.892725620828055,-0.7589581215570035,True,-0.798345777979968,-1.0179471114083374,-0.7818947103317637,0.0,0.0,0.0,0.0,True,,,,0.6537741617035587,0.04928490490529882,0.28948076888964197,0.2001811622249862,0.40717529101056976,0.31997925774681113,0.28948076888964197,0.31997925774681113,True,0.6147379887593697,0.5522263865966308,0.5592120523919204,Bcl2,BCL2,Y28C,Y28C,targeting guide,Missense,101,0.0,0.0,0.0,87.12871287128714,250,16.0,76.8,0.0,80.4,583,25.900514579759864,90.73756432246998,0.3430531732418524,68.43910806174956,1139,21.422300263388937,94.46883230904302,0.0877963125548726,75.50482879719051,0.8847165158684098,0.20861756662147068,0.9999935409454064,1.0,0.8528285882360893,0.1473136450707776,1.0,0.6838263030445972,0.9999935409454064,0.6838263030445972,0.004397018467648316,0.9997734064001041,0.017221655664955905,0.9999999999999999,0.0009762596815879654,0.9990299829899629,0.004033776266781044,1.0,0.017221655664955905,0.004033776266781044,0.063283817971335,0.9580293888794742,0.20691057006279967,0.9999999995778844,0.04056054051024295,0.9595526134503968,0.12708969359876124,1.0,0.20691057006279967,0.12708969359876124
gRNA_1383,Bcl2,0.4084672834681767,-0.0750503155045644,0.08042144263982282,0.770304330443263,0.2558415476455998,0.28799685773845957,0.2558415476455998,0.3787586510492156,True,0.6175940776632802,0.575586958201604,0.6399779778131689,2452.916209152845,-0.7783683817299544,-0.9799126240372598,-0.5665353652723573,-0.7749387903465238,-0.7783683817299544,-0.7749387903465238,True,-0.8202622198943531,-0.8583620449592896,-0.803698330130289,0.0,0.0,0.0,0.0,True,,,,-0.029350605916088582,-0.038827145997569236,-0.03820429342302877,0.27647539306183466,0.23247393112047046,0.08051345576912369,-0.029350605916088582,,False,0.1523738052948443,-0.050484482098944294,,Bcl2,BCL2,Y28C,Y28C,targeting guide,Missense,16,0.0,0.0,0.0,68.75,210,6.666666666666667,54.285714285714285,3.809523809523809,42.38095238095238,409,17.359413202933986,95.84352078239608,2.2004889975550124,77.01711491442543,812,15.270935960591132,96.67487684729063,0.8620689655172413,75.1231527093596,0.9249736475767153,0.2074507962695079,0.9999935409454064,1.0,0.8721063666086031,0.12801608530642367,1.0,0.6338183618062768,0.9999935409454064,0.6338183618062768,0.07117021037008693,0.9933314273207388,0.17264515547840442,0.9999999999999999,0.024092199992926437,0.9759602830135137,0.06290741109264125,1.0,0.17264515547840442,0.06290741109264125,0.04054545962346211,0.994522539360869,0.14611708406972818,0.9999999995778844,0.01450814587725103,0.9855357064379027,0.06129284100950997,1.0,0.14611708406972818,0.06129284100950997
gRNA_1551,Braf,-0.06725701130265421,-0.2615152366993155,0.24212978393511597,-0.1812212092326716,-0.24949540126628544,-0.10347181491316215,-0.1812212092326716,-0.18987221462523168,True,-0.11626415206255324,-0.19164253422152444,-0.1534270929179967,3204.737167673732,0.027065017400571968,0.011931831657098154,-0.43167154004263764,-0.13089156366165586,0.011931831657098154,0.01949842452883506,True,0.06300642296846234,0.24449871893059352,0.2802116873466214,0.0,0.0,0.0,0.0,True,,,,0.12593696252542372,0.06107568061775245,-0.17696285606408366,-0.08306063880648519,-0.11569851033269164,-0.03774187241201686,-0.08306063880648519,,False,-0.07595536656701991,-0.15201658696397974,,Braf,BRAF,K638E,K601E,targeting guide,Missense,2505,0.0,0.0,0.0399201596806387,75.48902195608783,1756,5.694760820045558,53.35990888382688,0.0,90.09111617312072,3116,7.573812580231065,59.94865211810013,0.0641848523748395,87.45186136071887,5529,7.668656176523783,57.49683487068186,0.054259359739555,87.95442213781877,0.2648493134556869,0.8955225571016824,0.6383547555085787,1.0,0.17075894030432887,0.8293782166705805,0.4089513474804309,1.0,0.6383547555085787,0.4089513474804309,0.2136943308549721,0.9692425568502938,0.42512734603952124,0.9999999999999999,0.09209315814609248,0.9080241532878695,0.19900590495937226,1.0,0.42512734603952124,0.19900590495937226,0.44075548261778663,0.8877153324507554,0.7121238767195521,0.9999999995778844,0.24886213920241224,0.7513352138741719,0.4896906701161371,1.0,0.7121238767195521,0.4896906701161371
gRNA_1726,Card11,1.2350826663793766,0.585492181683543,0.7224845359231697,1.103519865444968,0.9300329617287566,0.9153224422319628,0.9300329617287566,0.9153224422319628,True,1.7935963354680056,1.7590772654462365,1.3886401739642638,1308.8641028769325,-0.539307347052533,-0.19727933604291378,-0.27131043429693935,-0.3359657057974621,-0.27131043429693935,-0.3359657057974621,True,-0.21823934862334557,-0.15076472210682343,-0.20477457022042977,0.0,0.0,0.0,0.0,True,,,,1.3488474744204466,1.3504331423232305,0.3831705692234716,1.3120353717715036,1.0453887074008885,1.0879750530279082,1.3120353717715036,1.0879750530279082,True,2.0975958576354423,2.485238071431948,1.8349600007317268,Card11,CARD11,S116P,S116P,targeting guide,Missense,145,2.0689655172413794,7.586206896551724,0.0,59.310344827586206,332,23.49397590361446,96.3855421686747,0.3012048192771084,74.09638554216868,760,22.105263157894736,96.44736842105264,0.0,75.92105263157895,1365,18.60805860805861,96.7032967032967,0.0,79.34065934065934,0.46851617946441737,0.7763159729148292,0.8764282760130395,1.0,0.3369735199349599,0.6631969571334483,0.6431575811956595,1.0,0.8764282760130395,0.6431575811956595,1.0023140090069786e-08,0.9999999751076218,2.8990005183586455e-07,0.9999999999999999,1.1124840404716105e-09,0.9999999991605865,3.217646147825581e-08,1.0,2.8990005183586455e-07,3.217646147825581e-08,0.00010893182092766404,0.9999984265090323,0.0019005373864044019,0.9999999995778844,1.3722067453311022e-05,0.9999865192471933,0.00032246858515280904,1.0,0.0019005373864044019,0.00032246858515280904
